name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,winratio,location
Estevan Payan,2013-12-28,0,1,0,1,0,25.0,0.26,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,31,Orthodox,0.0,"Tempe, AZ USA"
Evan Dunham,2020-06-06,11,8,1,2,0,5.35,0.39,1.0,1.83,0.33,4,49,0,0,3,5,2,1,0,38,Southpaw,0.55,"Las Vegas, Nevada USA"
Fabio Maldonado,2015-11-07,5,5,0,1,0,69.1,0.536,0.5,0.4,0.25,3,26,0,0,1,2,2,0,0,35,Orthodox,0.5,"Florianopolis, Santa Catarina Brazil"
Fabricio Camoes,2014-10-25,1,4,0,2,0,13.0,0.438,1.0,1.6,0.308,1,10,0,0,0,0,0,1,0,35,Orthodox,0.2,"San Diego, CA USA"
Fabricio Werdum,2020-07-25,22,9,0,2,0,3.61,0.52,1.1,1.71,0.31,6,71,3,0,0,6,6,10,0,42,Orthodox,0.7096774193548387,"Los Angeles, California USA"
Felice Herrig,2020-08-15,5,3,0,2,0,3.69,0.36,0.9,1.2,0.3,4,21,0,0,1,2,0,2,0,35,Orthodox,0.625,"Crystal Lake, Illinois USA"
Felipe Arantes,2018-06-23,5,6,0,2,0,30.36363636,0.497272727,0.636363636,0.818181818,0.23,2,28,0,0,0,2,1,2,0,30,Orthodox,0.45454545454545453,Sao Paulo Brazil
Felipe Silva,2018-05-19,1,1,0,1,0,5.5,0.22,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,34,Orthodox,0.5,"Juiz de Fora, Minas Gerais Brazil"
Fernando Bruno,2016-07-08,0,1,0,1,0,20.0,0.62,0.0,2.0,0.18,0,3,1,0,0,0,0,0,0,34,Southpaw,0.0,Rio de Janeiro Brazil
Francimar Barroso,2018-01-20,4,4,0,1,0,30.5,0.4475,0.0,2.125,0.23375,2,21,0,0,0,4,0,0,0,37,Orthodox,0.5,Rio de Janeiro Brazil
Francis Carmont,2014-08-23,6,2,0,2,0,25.75,0.46375,0.625,1.625,0.36625,6,22,0,0,1,3,0,2,0,32,Orthodox,0.75,"Montreal, Quebec Canada"
Francis Ngannou,2021-03-27,10,2,0,0,4,2.54,0.41,0.4,0.2,0.33,6,20,1,0,0,0,9,1,0,34,Orthodox,0.8333333333333334,Paris France
Francisco Rivera,2016-07-30,4,6,0,2,0,36.6,0.442,0.4,0.7,0.275,2,21,0,0,0,1,3,0,0,34,Orthodox,0.4,"Buena Park, California USA"
Francisco Trevino,2015-06-13,1,0,0,0,1,47.0,0.4,0.0,2.0,0.28,1,3,0,0,0,1,0,0,0,33,Orthodox,1.0,"McAllen, Texas USA"
Francisco Trinaldo,2021-06-05,16,6,0,0,3,3.08,0.43,0.5,1.03,0.45,7,56,0,0,1,8,5,2,0,42,Southpaw,0.7272727272727273,"Brasilia, Distrito Federal Brazil"
Frank Mir,2016-03-19,16,10,0,1,0,13.0,0.493846154,0.807692308,0.807692308,0.271153846,4,42,5,0,0,2,5,8,0,36,Southpaw,0.6153846153846154,"Las Vegas, Nevada USA"
Frankie Edgar,2021-02-06,18,8,1,0,1,3.7,0.39,0.3,2.28,0.31,5,94,9,0,1,10,5,2,0,39,Orthodox,0.6666666666666666,"Toms River, New Jersey United States"
Frankie Perez,2017-07-22,1,2,0,1,0,16.0,0.533333333,0.333333333,0.666666667,0.193333333,1,7,0,0,0,0,1,0,0,28,Orthodox,0.3333333333333333,"Howell, New Jersey USA"
Frankie Saenz,2020-08-01,5,4,0,1,0,3.97,0.46,0.1,1.77,0.32,3,25,0,0,2,3,0,0,0,39,Orthodox,0.5555555555555556,"Scottsdale, Arizona USA"
Fredy Serrano,2016-12-17,2,1,0,1,0,15.0,0.386666667,0.0,2.666666667,0.366666667,2,7,0,0,0,0,2,0,0,37,Orthodox,0.6666666666666666,Cundinamarca Colombia
Gabriel Benitez,2021-07-17,6,4,0,0,1,4.35,0.39,1.2,0.15,0.5,2,21,0,0,0,2,2,2,0,33,Southpaw,0.6,"Tijuana, Baja California Mexico"
Gabriel Gonzaga,2016-04-10,12,9,0,0,1,13.71428571,0.54047619,0.523809524,1.095238095,0.41952381,4,36,1,0,0,1,7,4,0,36,Orthodox,0.5714285714285714,"Worcester, Massachusetts USA"
Gadzhimurad Antigulov,2020-10-17,2,3,0,3,0,2.89,0.56,2.8,8.4,0.42,2,5,0,0,0,0,0,2,0,33,Orthodox,0.4,Makhachkala Russia
Garett Whiteley,2014-12-13,0,2,0,2,0,25.5,0.43,1.0,0.0,0.0,0,4,0,0,0,0,0,0,0,33,Orthodox,0.0,"Indianapolis, Indiana USA"
Garreth McLellan,2016-08-27,1,2,0,1,0,40.66666667,0.563333333,1.0,0.666666667,0.133333333,1,8,0,0,0,0,1,0,0,33,Southpaw,0.3333333333333333,"Sunninghill, Johannesburg Gauteng South Africa"
Gasan Umalatov,2015-11-07,1,2,0,1,0,32.0,0.403333333,0.0,1.0,0.13,1,9,0,0,0,1,0,0,0,33,Orthodox,0.3333333333333333,"Zinzeli, Astrakhan Oblast Russia"
Gavin Tucker,2021-03-13,4,1,0,0,3,4.39,0.45,1.5,2.98,0.42,3,15,0,0,0,2,0,2,0,34,Southpaw,0.8,"Halifax, Nova Scotia Canada"
Geane Herrera,2016-11-26,1,2,0,1,0,20.0,0.46,0.666666667,0.666666667,0.5,1,8,0,0,0,0,1,0,0,26,Orthodox,0.3333333333333333,"Tampa, Florida USA"
Gegard Mousasi,2017-04-08,8,3,0,0,4,37.81818182,0.504545455,0.272727273,0.818181818,0.340909091,4,25,0,0,0,3,4,1,0,31,Orthodox,0.7272727272727273,"Leiden, Holland The Netherlands"
George Roop,2015-09-26,5,7,0,1,0,35.33333333,0.361666667,0.083333333,0.666666667,0.325833333,2,28,0,0,1,2,2,0,0,33,Orthodox,0.4166666666666667,"Tucson, AZ USA"
George Sullivan,2018-08-25,3,3,0,2,0,38.66666667,0.463333333,0.5,1.0,0.3,2,14,0,0,0,2,1,0,0,37,Orthodox,0.5,"Belmar, New Jersey USA"
Gerald Meerschaert,2021-08-28,7,6,0,0,1,3.41,0.44,1.8,2.58,0.4,2,24,0,0,0,0,1,6,0,33,Southpaw,0.5384615384615384,"Milwaukee, Wisconsin United States"
Germaine de Randamie,2020-10-03,8,3,0,1,0,2.72,0.47,0.2,0.0,0.0,5,28,2,0,1,3,4,0,0,36,Orthodox,0.7272727272727273,Utrecht The Netherlands
Gian Villante,2020-12-05,10,11,0,2,0,4.32,0.44,0.0,0.49,0.23,3,52,0,0,3,2,5,0,0,35,Orthodox,0.47619047619047616,"Bellmore, New York United States"
Gilbert Burns,2021-07-10,12,4,0,1,0,3.12,0.46,0.6,2.16,0.36,6,39,1,0,0,5,3,4,0,34,Orthodox,0.75,"Boca Raton, Florida USA"
Gilbert Melendez,2019-07-06,17,7,0,4,0,3.44,0.33,0.2,1.64,0.41,8,74,2,0,2,7,8,0,0,37,Orthodox,0.7083333333333334,"San Francisco, California USA"
Gina Mazany,2021-05-15,2,4,0,0,1,3.43,0.49,0.3,4.7,0.58,1,12,0,0,0,1,1,0,0,32,Southpaw,0.3333333333333333,"Las Vegas, Nevada United States"
Glaico Franca,2016-04-23,1,0,0,0,1,23.0,0.74,1.0,4.0,0.44,1,3,1,0,0,0,0,1,0,25,Orthodox,1.0,"Balneario Camboriu, Santa Catarina Brazil"
Gleison Tibau,2018-06-01,16,11,0,3,0,21.22222222,0.361111111,0.62962963,3.111111111,0.496666667,3,64,0,0,5,6,1,4,0,34,Southpaw,0.5925925925925926,"Coconut Creek, Florida USA"
Glover Teixeira,2020-11-07,17,6,0,0,4,3.74,0.47,0.9,1.87,0.38,8,51,1,0,1,2,8,6,0,41,Orthodox,0.7391304347826086,"Danbury, Connecticut United States"
Godofredo Pepey,2018-01-27,5,5,0,1,0,18.4,0.402,0.8,0.2,0.1,3,18,1,0,1,0,1,3,0,30,Orthodox,0.5,"Fortaleza, Ceara Brazil"
Gray Maynard,2018-10-06,11,8,0,0,1,25.26315789,0.378947368,0.631578947,2.631578947,0.45,8,54,2,0,3,7,1,0,0,39,Orthodox,0.5789473684210527,"Las Vegas, Nevada USA"
Gregor Gillespie,2021-05-08,6,1,0,1,0,3.74,0.52,0.8,6.86,0.48,6,12,0,0,0,1,3,2,0,34,Orthodox,0.8571428571428571,"Long Island, New York United States"
Guido Cannetti,2021-08-28,2,4,0,2,0,3.2,0.54,0.2,2.04,0.5,1,12,0,0,0,2,0,0,0,41,Southpaw,0.3333333333333333,"San Antonio de Padua, Buenos Aires Argentina"
Gunnar Nelson,2019-09-28,8,4,0,1,0,1.71,0.57,0.9,1.72,0.55,4,26,0,0,0,1,0,7,0,31,Switch,0.6666666666666666,Reykjavik Iceland
Guto Inocente,2014-11-07,0,1,0,1,0,6.0,0.75,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,28,Orthodox,0.0,"Boca Raton, FL USA"
Hacran Dias,2017-10-28,3,4,0,2,0,31.0,0.45,0.428571429,2.857142857,0.38,2,21,0,0,1,2,0,0,0,33,Orthodox,0.42857142857142855,Rio de Janeiro Brazil
Hans Stringer,2015-07-18,1,1,0,1,0,38.5,0.64,0.0,2.0,0.56,1,5,0,0,1,0,0,0,0,28,Orthodox,0.5,Rhen Netherlands
Hatsu Hioki,2015-05-09,3,4,0,1,0,31.42857143,0.432857143,0.714285714,2.285714286,0.555714286,2,20,0,0,1,2,0,0,0,31,Orthodox,0.42857142857142855,"Nagoya, Aichi Pref. Japan"
Hayder Hassan,2015-12-19,0,1,0,1,0,3.0,0.27,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,33,Orthodox,0.0,"Coconut Creek, FL USA"
Heather Jo Clark,2016-05-08,1,0,0,0,1,56.0,0.56,1.0,1.0,0.2,1,3,0,0,0,1,0,0,0,35,Orthodox,1.0,"Las Vegas, Nevada USA"
Hector Lombard,2018-09-22,3,8,0,6,0,35.36363636,0.490909091,0.181818182,1.363636364,0.382727273,2,26,0,0,0,1,2,0,0,40,Southpaw,0.2727272727272727,"Coconut Creek, Florida United States"
Hector Sandoval,2017-08-05,2,1,0,0,2,23.33333333,0.503333333,0.666666667,1.666666667,0.176666667,2,5,0,0,0,1,1,0,0,31,Orthodox,0.6666666666666666,"Sacramento, California USA"
Hector Urbina,2016-09-24,1,1,0,1,0,7.0,0.485,2.5,0.0,0.0,1,4,0,0,0,0,0,1,0,29,Orthodox,0.5,"Muncie, Indiana USA"
Henrique da Silva,2017-06-10,2,2,0,2,0,40.75,0.5825,0.25,0.25,0.0825,2,9,0,0,0,0,1,1,0,27,Orthodox,0.5,"Benevides, Para Brazil"
Henry Briones,2018-05-19,1,3,0,3,0,33.5,0.3225,0.25,0.0,0.0,1,9,0,0,0,0,0,1,0,37,Orthodox,0.25,Tijuana Mexico
Henry Cejudo,2020-05-09,9,2,0,0,5,3.82,0.44,0.2,2.16,0.35,5,30,4,0,2,4,3,0,0,33,Orthodox,0.8181818181818182,"Phoenix, Arizona USA"
Hernani Perpetuo,2014-07-26,0,1,0,1,0,21.0,0.22,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,29,Orthodox,0.0,Rio de Janeiro Brazil
Holly Holm,2020-10-03,6,5,0,0,1,2.75,0.35,0.1,0.5,0.27,3,38,5,0,1,3,2,0,0,38,Southpaw,0.5454545454545454,"Albuquerque, New Mexico United States"
Horacio Gutierrez,2016-08-06,0,1,0,1,0,10.0,0.26,0.0,0.0,0.0,0,3,1,0,0,0,0,0,0,25,Orthodox,0.0,"Chicago, Illinois United States"
Hugo Viana,2015-08-01,3,2,0,1,0,38.4,0.398,0.0,0.0,0.0,2,11,0,0,1,1,1,0,0,32,Orthodox,0.6,"Salvador, Bahia Brazil"
Hyun Gyu Lim,2015-05-16,3,1,0,0,1,55.0,0.5,0.25,0.25,0.25,2,9,0,0,0,0,3,0,0,30,Orthodox,0.75,Seoul South Korea
Ian Entwistle,2016-04-10,1,1,0,0,1,0.5,0.055,3.0,0.0,0.0,1,2,0,0,0,0,0,1,0,29,Orthodox,0.5,"Accrington, Lancashire England"
Ian McCall,2015-01-31,2,3,0,0,2,61.2,0.414,0.0,2.0,0.28,2,15,0,0,0,2,0,0,0,30,Orthodox,0.4,"Irvine, California United States"
Igor Araujo,2015-07-15,2,1,0,1,0,13.66666667,0.376666667,0.666666667,1.0,0.146666667,2,8,0,0,0,2,0,0,0,34,Orthodox,0.6666666666666666,"Albuquerque, NM USA"
Igor Pokrajac,2016-04-10,4,8,0,5,0,19.75,0.485833333,0.166666667,0.583333333,0.200833333,3,25,0,0,0,1,2,1,0,37,Orthodox,0.3333333333333333,Zagreb Croatia
Ildemar Alcantara,2015-07-15,4,2,0,0,1,28.0,0.41,1.0,2.166666667,0.621666667,2,17,0,0,2,1,0,1,0,32,Orthodox,0.6666666666666666,"Soure, Para Brazil"
Ilir Latifi,2021-06-05,7,6,0,3,0,1.84,0.39,0.4,2.02,0.34,3,25,0,0,0,2,3,2,0,37,Orthodox,0.5384615384615384,Malmo Sweden
Ion Cutelaba,2021-09-18,4,5,1,2,0,4.91,0.42,0.0,4.39,0.6,2,19,0,0,0,1,3,0,0,27,Southpaw,0.4,Chisinau Republic of Moldova
Irene Aldana,2021-07-10,5,4,0,1,0,5.61,0.39,0.1,0.22,0.5,3,27,0,0,1,2,1,1,0,33,Orthodox,0.5555555555555556,"Gudalajara, Jalisco Mexico"
