name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,Height_cms,Reach_cms,winratio
Seohee Ham,2016-11-26,1,2,0,1,0,73.66666667,0.43,0.333333333,0.0,0.0,1,9,0,0,0,1,0,0,0,29,Southpaw,157.48,157.48,0.3333333333333333
Sergei Pavlovich,2019-10-26,1,1,0,0,1,6.55,0.52,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,27,Southpaw,190.5,213.36,0.5
Sergey Morozov,2021-07-17,0,1,0,1,0,2.41,0.42,0.0,3.81,0.37,0,2,0,0,0,0,0,0,0,32,Orthodox,167.64,170.18,0.0
Serghei Spivac,2021-09-04,4,2,0,0,3,3.71,0.49,0.2,2.72,0.57,3,14,0,1,0,1,1,1,0,26,Orthodox,190.5,198.12,0.6666666666666666
Sergio Moraes,2019-05-11,8,4,0,1,0,30.16666667,0.4625,0.416666667,1.083333333,0.3625,4,31,1,0,2,2,1,3,0,36,Orthodox,182.88,182.88,0.6666666666666666
Sergio Pettis,2019-09-21,8,5,0,2,0,3.88,0.37,0.4,0.85,0.4,4,40,0,0,1,7,0,0,0,26,Orthodox,167.64,175.26,0.6153846153846154
Seth Baczynski,2015-04-11,5,5,0,2,0,31.0,0.336,0.5,0.6,0.117,4,22,0,0,1,1,1,2,0,33,Orthodox,190.5,187.96,0.5
Seth Petruzelli,2010-11-13,0,3,0,3,0,21.0,0.39,1.0,0.333333333,0.333333333,0,7,0,0,0,0,0,0,0,30,Orthodox,182.88,193.04,0.0
SeungWoo Choi,2021-06-19,2,2,0,0,2,3.31,0.41,0.0,1.0,0.57,2,12,0,0,0,2,0,0,0,28,Orthodox,182.88,187.96,0.5
Seungwoo Choi,2019-07-27,0,1,0,1,0,3.33,0.42,0.0,0.69,0.5,0,3,0,0,0,0,0,0,0,26,Orthodox,182.88,187.96,0.0
Shamar Bailey,2011-11-19,1,1,0,1,0,34.0,0.315,0.0,2.5,0.275,1,6,0,0,0,1,0,0,0,29,Southpaw,175.26,190.5,0.5
Shamil Abdurakhimov,2021-09-25,5,3,0,1,0,2.53,0.43,0.2,1.14,0.24,3,19,0,0,1,2,2,0,0,40,Orthodox,190.5,193.04,0.625
