,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Darrell Montague,2015-07-12,0,2,0,2,0,18.0,0.255,1.0,0.5,0.25,0,4,0,0,0,0,0,0,0,27,Southpaw,167.64,170.18,0.0,2,"Chino, CA USA",USA
Darren Elkins,2021-07-24,15,8,0,0,1,3.46,0.38,1.1,2.67,0.33,6,60,0,0,2,8,3,2,0,37,Orthodox,177.8,180.34,0.6521739130434783,23,"Portage, Indiana USA",USA
Darren Stewart,2021-08-28,5,6,0,2,0,3.05,0.45,0.1,1.75,0.45,3,28,0,0,1,1,2,1,0,30,Orthodox,182.88,187.96,0.45454545454545453,11,London England,England
Darren Till,2021-09-04,6,3,1,1,0,2.26,0.46,0.0,0.5,0.41,4,29,1,0,1,3,2,0,0,28,Southpaw,182.88,187.96,0.6,10,"Balneario Camboriu, Santa Catarina Brazil",Brazil
Dashon Johnson,2014-09-13,0,1,0,1,0,11.0,0.73,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,26,Orthodox,170.18,177.8,0.0,1,"Escondido, CA USA",USA
Davey Grant,2021-06-19,4,3,0,0,3,4.21,0.47,0.2,2.07,0.46,3,17,0,0,1,1,2,0,0,35,Orthodox,172.72,175.26,0.5714285714285714,7,"Bishop Auckland, County Durham England",England
Davi Ramos,2020-07-18,4,2,0,1,0,2.74,0.39,0.7,2.42,0.5,4,14,0,0,0,1,0,3,0,33,Orthodox,167.64,177.8,0.6666666666666666,6,Rio de Janeiro Brazil,Brazil
David Michaud,2015-04-25,1,1,0,0,1,59.0,0.44,1.0,3.5,0.685,1,6,0,0,0,1,0,0,0,26,Orthodox,175.26,182.88,0.5,2,"Glendale, Arizona USA",USA
David Teymur,2019-02-02,5,0,0,0,5,54.6,0.442,0.0,0.8,0.322,5,13,0,0,0,3,2,0,0,29,Southpaw,175.26,185.42,1.0,5,Stockholm Sweden,Sweden
Demetrious Johnson,2018-08-04,15,2,0,0,13,64.23529412,0.548823529,0.705882353,4.294117647,0.472941176,13,64,13,0,1,7,2,5,0,31,Orthodox,160.02,167.64,0.8823529411764706,17,"Parkland, WA USA",USA
Demian Maia,2021-06-12,22,10,0,1,0,1.8,0.43,1.0,2.49,0.24,7,86,2,1,1,8,1,11,0,43,Southpaw,185.42,182.88,0.6875,32,Sao Paulo Brazil,Brazil
Dennis Bermudez,2019-01-19,9,7,0,4,0,50.4375,0.45375,0.75,2.875,0.389375,7,39,1,0,2,4,1,2,0,32,Orthodox,167.64,167.64,0.5625,16,"Lindenhurst, New York USA",USA
Dennis Siver,2017-06-25,11,9,0,2,0,38.3,0.3385,0.25,0.65,0.2825,4,47,0,0,0,6,3,2,0,38,Orthodox,167.64,177.8,0.55,20,Mannheim Germany,Germany
Derek Brunson,2021-09-04,16,6,0,0,4,3.45,0.47,0.5,3.15,0.34,5,44,0,0,0,7,7,2,0,37,Southpaw,185.42,195.58,0.7272727272727273,22,"Wilmington, North Carolina USA",USA
Derrick Lewis,2021-08-07,16,5,0,0,4,2.49,0.5,0.0,0.49,0.25,6,48,1,0,2,2,12,0,0,36,Orthodox,190.5,200.66,0.7619047619047619,21,"Houston, Texas USA",USA
Desmond Green,2019-03-30,2,3,0,1,0,48.2,0.426,0.0,1.0,0.3,1,15,0,0,1,1,0,0,0,29,Southpaw,177.8,185.42,0.4,5,,None
Devin Clark,2021-09-18,6,5,0,1,0,3.13,0.56,0.1,2.51,0.34,2,25,0,0,0,6,0,0,0,31,Orthodox,182.88,190.5,0.5454545454545454,11,"Sioux Falls, South Dakota USA",USA
Devin Powell,2018-07-28,0,2,0,2,0,32.5,0.405,1.0,0.0,0.0,0,6,0,0,0,0,0,0,0,30,Orthodox,182.88,185.42,0.0,2,"Somersworth, New Hampshire USA",USA
Dhiego Lima,2021-06-19,4,6,0,1,0,3.12,0.39,0.6,1.26,0.34,3,21,0,0,2,1,1,0,0,32,Orthodox,187.96,190.5,0.4,10,"Atlanta, Georgia USA",USA
Diego Brandao,2016-01-02,6,3,0,0,2,19.66666667,0.49,0.333333333,1.666666667,0.412222222,3,15,1,0,0,2,1,2,1,28,Orthodox,170.18,172.72,0.6666666666666666,9,Manaus Brazil,Brazil
Diego Ferreira,2021-05-08,8,3,0,1,0,4.7,0.37,0.8,0.81,0.24,6,24,0,0,0,3,3,2,0,36,Orthodox,175.26,187.96,0.7272727272727273,11,"Pharr, Texas USA",USA
Diego Rivas,2018-05-19,2,1,0,1,0,15.66666667,0.423333333,0.666666667,1.333333333,0.886666667,2,8,0,0,0,1,1,0,0,26,Orthodox,172.72,175.26,0.6666666666666666,3,Cholchol Chile,Chile
Diego Sanchez,2020-09-26,22,12,0,0,1,2.73,0.38,0.9,1.57,0.24,9,86,2,0,3,10,6,2,0,38,Southpaw,177.8,182.88,0.6470588235294118,34,"Albuquerque, New Mexico USA",USA
Dileno Lopes,2016-07-07,0,1,0,1,0,46.0,0.42,3.0,3.0,0.75,0,3,1,0,0,0,0,0,0,31,Southpaw,165.1,165.1,0.0,1,Manaus Brazil,Brazil
Dmitrii Smoliakov,2019-04-27,0,2,0,2,0,9.5,0.455,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,36,Switch,187.96,187.96,0.0,2,Kaliningrad City Russia,Russia
Dominic Waters,2016-05-08,0,2,0,2,0,6.5,0.12,0.0,2.5,0.5,0,4,0,0,0,0,0,0,0,27,Orthodox,185.42,200.66,0.0,2,"Albuquerque, New Mexico USA",USA
Dominick Cruz,2021-03-06,12,3,0,2,0,3.65,0.32,0.1,2.99,0.46,12,53,6,0,2,8,2,0,0,35,Orthodox,172.72,172.72,0.8,15,"San Diego, California USA",USA
Dominique Steele,2016-08-06,1,2,0,1,0,24.0,0.68,0.0,3.333333333,0.473333333,1,7,0,0,0,0,1,0,0,28,Orthodox,177.8,187.96,0.3333333333333333,3,"Cincinnati, Ohio USA",USA
Donald Cerrone,2021-05-08,29,15,0,4,0,4.43,0.46,1.2,1.18,0.33,8,103,1,0,0,9,10,10,0,38,Orthodox,185.42,185.42,0.6590909090909091,44,"Albuquerque, New Mexico USA",USA
Dong Hyun Kim,2017-06-17,13,4,0,0,3,23.82352941,0.523529412,0.470588235,2.176470588,0.445882353,4,42,0,0,2,6,4,1,0,35,Southpaw,187.96,193.04,0.7647058823529411,17,Busan South Korea,Korea
