,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Jon Tuck,2018-08-25,4,4,0,0,1,36.375,0.42375,0.75,0.375,0.075,1,20,0,0,0,1,1,2,0,33,Orthodox,180.34,185.42,0.5,8,Hagatna Guam,Guam
Jonathan Meunier,2016-11-26,0,1,0,1,0,16.0,0.69,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,29,Switch,190.5,190.5,0.0,1,"Quebec City, Quebec Canada",Canada
Jonathan Wilson,2016-10-01,1,1,0,1,0,35.0,0.59,0.0,0.5,0.5,1,3,0,0,0,0,1,0,0,29,Southpaw,187.96,190.5,0.5,2,"San Bernardino, California USA",USA
Jonavin Webb,2016-02-21,0,1,0,1,0,23.0,0.34,2.0,2.0,0.25,0,3,0,0,0,0,0,0,0,26,Orthodox,177.8,180.34,0.0,1,"Marlton, NJ USA",USA
Jordan Johnson,2018-03-03,2,0,0,0,2,40.5,0.44,1.0,3.0,0.565,2,6,0,0,0,2,0,0,0,29,Orthodox,187.96,200.66,1.0,2,"San Diego, California USA",USA
Jordan Mein,2018-07-28,4,4,0,0,1,33.375,0.50875,0.25,1.375,0.31375,2,18,0,0,1,1,2,0,0,28,Orthodox,182.88,185.42,0.5,8,"Lethbridge, Alberta Canada",Canada
Jordan Rinaldi,2019-03-16,2,2,0,0,1,12.75,0.435,1.0,1.25,0.2575,1,8,0,0,0,1,0,1,0,31,Orthodox,177.8,182.88,0.5,4,"Charlotte, North Carolina USA",USA
Jorge Masvidal,2021-04-24,17,8,0,1,0,4.22,0.48,0.3,1.54,0.59,4,70,1,0,1,8,7,1,0,36,Orthodox,180.34,187.96,0.68,25,"Miami, Florida USA",USA
Jorge de Oliveira,2015-03-21,0,1,0,1,0,23.0,0.33,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,35,Orthodox,172.72,180.34,0.0,1,Rio de Janeiro Brazil,Brazil
Jose Aldo,2021-08-07,19,6,0,0,1,3.63,0.45,0.1,0.55,0.56,15,76,12,0,0,8,11,0,0,34,Orthodox,170.18,177.8,0.76,25,Rio de Janeiro Brazil,Brazil
Jose Quinonez,2020-12-05,5,3,0,1,0,3.41,0.46,0.7,2.58,0.45,4,19,0,0,0,4,0,1,0,30,Southpaw,172.72,175.26,0.625,8,"San Diego, California USA",USA
Joseph Benavidez,2021-03-06,21,7,0,2,0,3.52,0.34,0.6,1.41,0.3,6,68,3,0,1,10,6,4,0,36,Southpaw,162.56,165.1,0.75,28,"Las Cruces, New Mexico USA",USA
Josh Barnett,2016-09-03,6,3,0,1,0,37.66666667,0.633333333,0.444444444,0.444444444,0.333333333,4,18,1,0,0,1,4,1,0,38,Orthodox,190.5,198.12,0.6666666666666666,9,"Fullerton, California USA",USA
Josh Copeland,2015-03-14,0,1,0,1,0,20.0,0.35,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,32,Orthodox,185.42,190.5,0.0,1,"Denver, Colorado USA",USA
Josh Emmett,2020-06-20,6,2,0,0,2,3.63,0.36,0.2,1.5,0.45,2,19,0,0,1,2,3,0,0,35,Orthodox,167.64,177.8,0.75,8,"Sacramento, California USA",USA
Josh Koscheck,2015-03-21,15,9,0,4,0,17.66666667,0.391666667,0.291666667,1.666666667,0.467083333,5,51,1,0,1,5,6,3,0,37,Orthodox,177.8,185.42,0.625,24,"Fresno, California USA",USA
Josh Samman,2016-07-13,3,1,0,1,0,17.25,0.545,0.25,0.75,0.25,3,8,0,0,0,0,2,1,0,28,Orthodox,190.5,200.66,0.75,4,"Tallahassee, Florida USA",USA
Josh Shockley,2015-02-22,0,1,0,1,0,6.0,0.5,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,25,Orthodox,185.42,187.96,0.0,1,"Lake Station, Indiana USA",USA
Josh Stansbury,2017-06-25,1,1,0,1,0,48.5,0.555,1.0,0.0,0.0,1,6,0,1,0,0,0,0,0,32,Orthodox,187.96,187.96,0.5,2,"East Liverpool, Ohio USA",USA
Josh Thomson,2015-07-15,3,3,0,2,0,27.33333333,0.495,0.0,1.666666667,0.613333333,2,15,0,1,0,0,2,0,0,36,Orthodox,177.8,180.34,0.5,6,"San Jose, CA USA",USA
Joshua Burkman,2018-02-18,6,12,0,4,0,29.94444444,0.521111111,0.222222222,1.888888889,0.380555556,2,44,0,0,1,3,1,1,0,37,Orthodox,177.8,182.88,0.3333333333333333,18,"Draper, Utah USA",USA
Joshua Sampo,2015-05-23,1,2,0,2,0,16.66666667,0.326666667,2.0,0.666666667,0.333333333,1,6,0,0,0,0,0,1,0,30,Orthodox,162.56,162.56,0.3333333333333333,3,"St. Charles, Missouri USA",USA
Julian Erosa,2021-09-04,4,5,0,1,0,5.55,0.47,0.9,1.45,0.5,2,19,0,0,1,0,2,1,0,32,Southpaw,185.42,187.96,0.4444444444444444,9,"Seattle, Washington USA",USA
Juliana Lima,2018-01-27,3,3,0,1,0,28.0,0.43,0.0,1.666666667,0.385,2,17,0,0,0,3,0,0,0,35,Orthodox,165.1,165.1,0.5,6,"Belo Horizonte, MG Brazil",Brazil
Julianna Pena,2021-01-23,5,2,0,1,0,2.8,0.47,0.8,2.73,0.51,4,16,0,0,0,3,2,0,0,31,Orthodox,167.64,175.26,0.7142857142857143,7,"Spokane, Washington USA",USA
Jumabieke Tuerxun,2014-11-07,0,2,0,2,0,22.5,0.3,1.0,0.5,0.055,0,6,0,0,0,0,0,0,0,28,Orthodox,170.18,170.18,0.0,2,Xi'an China,China
Junior Dos Santos,2020-12-12,4,0,0,0,4,5.61,0.54,0.7,1.08,0.6,4,0,0,0,0,0,0,0,0,30,Orthodox,193.04,205.74,1.0,4,"Salvador, Bahia Brazil",Brazil
Junior Hernandez,2014-01-25,0,1,0,1,0,4.0,0.4,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,27,Orthodox,175.26,175.26,0.0,1,"Coconut Creek, FL USA",USA
Jussier Formiga,2020-06-06,9,6,0,2,0,1.35,0.39,0.6,1.87,0.35,4,37,0,0,0,6,0,3,0,35,Orthodox,165.1,170.18,0.6,15,Natal Brazil,Brazil
Justin Edwards,2015-06-06,2,4,0,2,0,24.0,0.47,0.833333333,1.5,0.083333333,1,14,0,0,0,1,0,1,0,32,Orthodox,177.8,177.8,0.3333333333333333,6,"Bellefontaine, Ohio USA",USA
Justin Jones,2015-04-04,0,1,0,1,0,28.0,0.4,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,27,Orthodox,180.34,198.12,0.0,1,"San Diego, California USA",USA
Justin Ledet,2020-10-31,3,3,0,3,0,3.33,0.39,0.2,0.24,0.5,3,14,0,0,1,1,0,1,0,32,Orthodox,193.04,203.2,0.5,6,"Rosharon, Texas USA",USA
Justin Salas,2016-03-05,3,3,0,1,0,28.0,0.473333333,0.0,1.166666667,0.098333333,1,11,0,0,1,1,1,0,0,33,Southpaw,172.72,177.8,0.5,6,"Green River, WY USA",USA
Justin Scoggins,2017-06-17,4,3,0,1,0,41.42857143,0.581428571,0.428571429,3.142857143,0.72,2,17,0,0,0,3,1,0,0,25,Southpaw,170.18,167.64,0.5714285714285714,7,"Spartanburg, South Carolina USA",USA
Justine Kish,2021-04-17,3,3,0,1,0,4.51,0.48,0.1,0.87,0.33,2,18,0,0,0,3,0,0,0,33,Orthodox,165.1,162.56,0.5,6,"Los Angeles, California USA",USA
KJ Noons,2016-02-06,2,3,0,2,0,26.0,0.462,0.0,0.0,0.0,2,10,0,0,0,1,1,0,0,33,Orthodox,177.8,182.88,0.4,5,"San Diego, California USA",USA
Kailin Curran,2017-07-29,1,4,0,2,0,36.4,0.41,0.6,1.6,0.5,1,12,0,0,0,0,0,1,0,26,Orthodox,162.56,165.1,0.2,5,"Ewa Beach, Hawaii USA",USA
Kajan Johnson,2018-09-15,4,2,0,1,0,28.66666667,0.445,0.166666667,1.5,0.201666667,4,16,0,0,1,2,1,0,0,34,Orthodox,180.34,190.5,0.6666666666666666,6,"Montreal, Quebec Canada",Canada
Kamaru Usman,2021-04-24,13,0,0,0,13,4.63,0.54,0.1,3.27,0.48,13,46,4,0,0,9,3,1,0,33,Switch,182.88,193.04,1.0,13,"Boca Raton, Florida USA",USA
Karolina Kowalkiewicz,2021-08-07,5,6,0,4,0,5.16,0.39,0.1,0.19,0.22,3,31,1,0,2,3,0,0,0,35,Orthodox,160.02,162.56,0.45454545454545453,11,Lodz Poland,Poland
Katlyn Chookagian,2021-05-15,8,4,0,0,1,4.57,0.35,0.4,0.25,0.15,3,34,1,0,1,7,0,0,0,32,Orthodox,175.26,172.72,0.6666666666666666,12,"Kenilworth, New Jersey USA",USA
Katsunori Kikuno,2015-09-26,2,2,0,1,0,19.5,0.4075,0.25,1.0,0.4375,1,7,0,0,0,1,0,1,0,33,Orthodox,172.72,167.64,0.5,4,Tokyo Japan,Japan
Kazuki Tokudome,2013-07-06,1,0,0,0,1,33.0,0.42,0.0,2.0,1.0,1,3,0,0,0,1,0,0,0,26,Southpaw,180.34,185.42,1.0,1,Tokyo Japan,Japan
Keita Nakamura,2019-04-20,4,6,0,0,1,30.8,0.361,0.4,1.8,0.473,1,29,0,0,2,0,0,2,0,34,Southpaw,180.34,185.42,0.4,10,Tokyo Japan,Japan
Kelvin Gastelum,2021-08-21,11,7,0,1,0,3.53,0.41,0.1,1.05,0.32,5,52,1,0,3,3,3,2,0,29,Southpaw,175.26,180.34,0.6111111111111112,18,"Yuma, Arizona USA",USA
Kenny Robertson,2016-09-17,4,4,0,1,0,37.375,0.53875,0.625,1.0,0.39,3,17,0,0,0,1,1,2,0,32,Orthodox,177.8,187.96,0.5,8,"Washington, Illinois USA",USA
Ketlen Vieira,2021-02-20,5,2,0,1,0,2.66,0.36,0.5,2.19,0.48,4,1,0,0,0,0,0,0,0,29,Orthodox,172.72,172.72,0.7142857142857143,7,"Manaus, Amazonas Brazil",Brazil
Kevin Casey,2016-08-27,1,5,0,3,0,24.16666667,0.493333333,0.333333333,0.5,0.11,1,13,0,0,0,1,0,0,0,35,Southpaw,180.34,195.58,0.16666666666666666,6,"Hawthorne, California USA",USA
Kevin Lee,2021-08-28,11,6,0,1,0,3.89,0.42,0.8,3.19,0.43,5,44,1,0,1,3,3,4,0,28,Orthodox,175.26,195.58,0.6470588235294118,17,"Las Vegas, Nevada USA",USA
Kevin Souza,2015-11-07,3,0,0,0,3,45.33333333,0.516666667,0.0,0.0,0.0,3,6,0,0,1,0,2,0,0,31,Orthodox,182.88,187.96,1.0,3,Florianopolis Brazil,Brazil
Khabib Nurmagomedov,2020-10-24,12,0,0,0,12,4.11,0.49,0.7,5.35,0.47,12,36,3,0,0,6,2,4,0,32,Orthodox,177.8,177.8,1.0,12,Russia Russia,Russia
Khalil Rountree Jr.,2021-09-04,4,5,0,2,0,3.24,0.38,0.2,0.0,0.0,3,18,0,0,0,1,3,0,0,31,Southpaw,185.42,193.04,0.4444444444444444,9,"Las Vegas, NV USA",USA
Kiichi Kunimoto,2017-06-10,3,1,0,1,0,15.75,0.44,0.25,0.75,0.17,3,8,0,0,1,0,0,1,0,36,Orthodox,177.8,180.34,0.75,4,Osaka Japan,Japan
Konstantin Erokhin,2015-12-11,0,1,0,1,0,17.0,0.47,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,32,Orthodox,180.34,185.42,0.0,1,Moscow Russia,Russia
Krzysztof Jotko,2021-10-02,9,5,0,1,0,2.92,0.41,0.1,1.15,0.34,5,38,0,0,2,6,1,0,0,32,Southpaw,185.42,195.58,0.6428571428571429,14,Orneta Poland,Poland
Kwan Ho Kwak,2017-06-17,0,1,0,1,0,53.0,0.41,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,27,Switch,165.1,177.8,0.0,1,Seoul South Korea,Korea
Kyle Bochniak,2018-12-08,2,3,0,1,0,38.4,0.324,0.0,1.0,0.146,1,15,0,0,1,1,0,0,0,31,Orthodox,170.18,177.8,0.4,5,"Boston, Massachusetts USA",USA
Kyle Kingsbury,2014-07-26,4,4,0,3,0,35.25,0.46375,0.0,2.25,0.2025,4,19,0,0,1,2,1,0,0,32,Orthodox,193.04,193.04,0.5,8,"San Jose, CA USA",USA
Kyle Noke,2016-11-26,6,5,0,2,0,31.0,0.55,0.363636364,1.0,0.348181818,3,22,0,0,1,0,3,2,0,36,Southpaw,185.42,193.04,0.5454545454545454,11,"Albuquerque, New Mexico USA",USA
Kyoji Horiguchi,2016-11-19,6,1,0,0,2,50.14285714,0.475714286,0.0,1.571428571,0.397142857,4,20,1,0,0,4,2,0,0,26,Orthodox,165.1,167.64,0.8571428571428571,7,"Coconut Creek, Florida USA",USA
Kyung Ho Kang,2019-08-17,4,2,0,0,1,2.52,0.44,1.1,2.53,0.59,3,17,0,0,1,0,0,3,0,31,Orthodox,175.26,185.42,0.6666666666666666,6,Busan South Korea,Korea
Lance Benoist,2014-06-07,1,2,0,2,0,55.0,0.526666667,0.0,1.333333333,0.25,1,9,0,0,0,1,0,0,0,25,Southpaw,180.34,185.42,0.3333333333333333,3,"St. Louis, MO USA",USA
Lando Vannata,2021-05-15,3,5,2,1,0,4.67,0.44,0.3,1.12,0.4,1,25,0,0,0,1,1,1,0,29,Orthodox,175.26,180.34,0.3,10,"Albuquerque, New Mexico USA",USA
Larissa Pacheco,2015-03-14,0,1,0,1,0,6.0,0.46,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,20,Orthodox,170.18,175.26,0.0,1,"Marituba, Para Brazil",Brazil
Lauren Murphy,2021-09-25,7,4,0,0,5,3.58,0.38,0.1,1.03,0.34,5,32,0,0,3,1,2,1,0,38,Orthodox,165.1,170.18,0.6363636363636364,11,"Glendale, Arizona USA",USA
Leandro Issa,2016-09-03,2,2,0,1,0,28.0,0.44,1.25,1.75,0.3025,2,10,0,0,0,0,0,2,0,32,Orthodox,170.18,175.26,0.5,4,Singapore,Singapore
Leandro Silva,2016-09-03,3,4,0,1,0,30.71428571,0.525714286,0.428571429,1.714285714,0.432857143,2,18,0,0,0,2,0,1,0,30,Orthodox,175.26,182.88,0.42857142857142855,7,Sao Paulo Brazil,Brazil
Leo Kuntz,2015-11-28,0,1,0,1,0,7.0,0.28,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,32,Orthodox,177.8,187.96,0.0,1,"Coconut Creek, Florida USA",USA
Leon Edwards,2021-06-12,10,2,0,0,8,2.62,0.49,0.3,1.48,0.35,8,40,0,0,1,6,2,1,0,29,Southpaw,187.96,187.96,0.8333333333333334,12,Birmingham England,England
Leonardo Augusto Leleco,2016-09-17,0,1,0,1,0,64.0,0.59,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,34,Orthodox,182.88,185.42,0.0,1,Salvador Brazil,Brazil
Leonardo Mafra,2015-07-18,1,2,0,0,1,46.0,0.48,0.333333333,1.666666667,0.276666667,1,8,0,0,0,1,0,0,0,26,Orthodox,177.8,177.8,0.3333333333333333,3,"Balneario Camboriu, Santa Catarina Brazil",Brazil
Leonardo Morales,2015-06-06,0,1,0,1,0,33.0,0.45,0.0,0.0,0.0,0,3,1,0,0,0,0,0,0,22,Southpaw,172.72,172.72,0.0,1,"Los Angeles, California USA",USA
Leonardo Santos,2021-03-20,7,0,1,0,7,2.65,0.44,0.3,1.07,0.29,6,18,0,0,1,2,2,2,0,41,Orthodox,182.88,190.5,0.875,8,"Campos, Rio de Janeiro Brazil",Brazil
Leslie Smith,2016-03-19,1,2,0,1,0,47.66666667,0.403333333,0.0,0.0,0.0,1,6,0,0,0,0,1,0,0,33,Orthodox,175.26,167.64,0.3333333333333333,3,"Pleasant Hill, California USA",USA
Levan Makashvili,2015-06-27,1,0,0,0,1,27.0,0.47,0.0,7.0,0.53,1,3,0,0,1,0,0,0,0,26,Orthodox,172.72,172.72,1.0,1,"Oceanside, New York USA",USA
Li Jingliang,2021-01-16,9,4,0,1,0,4.51,0.42,0.0,1.32,0.39,4,32,0,0,1,2,6,0,0,32,Orthodox,182.88,180.34,0.6923076923076923,13,Beijing China,China
Lina Lansberg,2019-09-28,3,3,0,0,1,2.76,0.57,0.1,0.71,0.33,1,16,0,0,0,3,0,0,0,37,Orthodox,170.18,165.1,0.5,6,Malmo Sweden,Sweden
Lisa Ellis,2015-05-09,0,1,0,1,0,4.0,0.8,1.0,2.0,0.66,0,2,0,0,0,0,0,0,0,32,Orthodox,162.56,157.48,0.0,1,"Olympia, Washington USA",USA
Liz Carmouche,2019-08-10,7,6,0,0,2,2.78,0.54,0.3,2.57,0.51,2,36,0,0,1,4,2,0,0,35,Orthodox,167.64,167.64,0.5384615384615384,13,"San Diego, California USA",USA
Lorenz Larkin,2016-08-20,4,5,0,0,1,39.88888889,0.452222222,0.0,0.111111111,0.055555556,2,22,0,0,1,1,2,0,0,29,Orthodox,180.34,182.88,0.4444444444444444,9,"Riverside, California USA",USA
Louis Gaudinot,2015-01-03,1,3,0,2,0,25.25,0.385,0.5,0.5,0.25,1,9,0,0,0,0,0,1,0,30,Orthodox,160.02,160.02,0.25,4,"Hoboken, New Jersey USA",USA
Louis Smolka,2020-12-05,7,7,0,1,0,4.25,0.46,2.0,1.61,0.34,4,31,0,0,0,2,3,2,0,29,Orthodox,175.26,172.72,0.5,14,"Kapolei, HI USA",USA
Luan Chagas,2018-04-21,1,2,0,0,1,60.66666667,0.466666667,0.333333333,0.333333333,0.083333333,1,8,0,0,0,0,0,1,0,24,Orthodox,182.88,190.5,0.3333333333333333,3,Curitiba Brazil,Brazil
Lucas Martins,2016-04-10,3,3,0,2,0,24.5,0.368333333,0.333333333,0.0,0.0,3,13,0,0,0,0,2,1,0,27,Southpaw,182.88,182.88,0.5,6,Minas Gerais Brazil,Brazil
Lucie Pudilova,2019-08-03,2,3,0,2,0,4.15,0.36,0.6,0.16,0.12,2,15,0,0,0,2,0,0,0,25,Orthodox,172.72,170.18,0.4,5,Pribram Czech Republic ,Czech Republic
Luis Henrique,2017-03-04,2,1,0,0,2,18.66666667,0.516666667,1.0,2.666666667,0.433333333,2,7,0,0,0,0,0,2,0,23,Orthodox,187.96,187.96,0.6666666666666666,3,Rio de Janerio Brazil,Brazil
Lukasz Sajewski,2016-07-07,0,1,0,1,0,26.0,0.3,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,25,Orthodox,172.72,180.34,0.0,1,Gdansk Poland,Poland
Luke Barnatt,2015-05-16,3,2,0,2,0,55.0,0.342,0.4,0.4,0.3,3,12,0,0,0,1,1,1,0,27,Orthodox,198.12,195.58,0.6,5,Cambridge England,England
Luke Rockhold,2019-07-06,15,3,0,1,0,4.18,0.48,1.1,0.67,0.3,9,34,3,0,0,2,6,7,0,34,Southpaw,190.5,195.58,0.8333333333333334,18,"Santa Cruz, California USA",USA
Luke Sanders,2021-05-01,4,4,0,1,0,6.61,0.52,0.2,0.71,0.3,2,14,0,0,0,1,2,1,0,35,Southpaw,167.64,170.18,0.5,8,"Nashville, Tennessee USA",USA
Lyman Good,2020-06-20,3,2,0,0,1,5.32,0.49,0.0,0.38,1.0,1,10,0,0,0,0,3,0,0,35,Orthodox,182.88,187.96,0.6,5,,None
Lyoto Machida,2018-05-12,15,8,0,0,1,30.65217391,0.523913043,0.347826087,0.608695652,0.267391304,8,61,5,0,2,6,6,1,0,39,Southpaw,185.42,187.96,0.6521739130434783,23,"Los Angeles, California USA",USA
Magnus Cedenblad,2016-05-08,3,1,0,0,3,13.75,0.5725,0.75,1.5,0.275,3,8,0,0,0,1,0,2,0,34,Orthodox,195.58,200.66,0.75,4,Stockholm Sweden,Sweden
Magomed Bibulatov,2017-10-07,1,0,0,0,1,51.0,0.44,0.0,2.0,0.28,1,3,0,0,0,1,0,0,0,29,Orthodox,165.1,165.1,1.0,1,,None
Magomed Mustafaev,2020-02-22,3,1,0,0,1,3.11,0.57,0.7,0.0,0.0,2,7,0,0,0,0,3,0,0,31,Orthodox,172.72,180.34,0.75,4,"Albuquerque, New Mexico USA",USA
Mairbek Taisumov,2019-09-07,7,1,0,0,6,2.98,0.39,0.0,1.34,0.63,6,13,0,0,0,2,5,0,0,31,Orthodox,175.26,185.42,0.875,8,Vienna Austria,Austria
Makwan Amirkhani,2021-06-05,6,3,0,1,0,1.4,0.43,1.1,3.61,0.4,3,20,0,0,1,1,1,3,0,32,Southpaw,177.8,182.88,0.6666666666666666,9,Turku Finland,Finland
Manvel Gamburyan,2016-11-19,6,8,0,1,0,19.35714286,0.435,0.571428571,2.142857143,0.333571429,2,32,1,0,0,3,0,3,0,35,Orthodox,165.1,170.18,0.42857142857142855,14,"Hollywood, CA USA",USA
Marc Diakiese,2020-07-18,5,3,0,0,2,2.86,0.37,0.0,2.5,0.4,3,21,0,0,0,3,2,0,0,27,Orthodox,177.8,185.42,0.625,8,Manchester England,England
Marcel Fortuna,2017-11-11,1,1,0,1,0,34.0,0.505,0.0,0.0,0.0,1,4,0,0,0,0,1,0,0,32,Orthodox,185.42,187.96,0.5,2,"Tubarao, Santa Catarina Brazil",Brazil
Marcelo Guimaraes,2016-03-05,2,1,0,0,1,62.66666667,0.523333333,0.0,1.666666667,0.163333333,1,8,0,0,2,0,0,0,0,32,Orthodox,182.88,185.42,0.6666666666666666,3,"Vitoria, Espirito Santo Brazil",Brazil
Marcin Held,2017-05-28,0,2,0,2,0,26.5,0.325,0.5,2.5,0.5,0,6,0,0,0,0,0,0,0,25,Orthodox,175.26,180.34,0.0,2,Tychy Poland,Poland
Marcin Tybura,2021-06-05,8,5,0,0,4,3.63,0.5,0.1,1.67,0.45,4,36,0,0,0,5,3,0,0,35,Orthodox,190.5,198.12,0.6153846153846154,13,Warszawa Poland,Poland
Marcio Alexandre Junior,2015-12-12,0,2,0,2,0,22.0,0.415,0.0,0.5,0.125,0,6,1,0,0,0,0,0,0,26,Southpaw,182.88,190.5,0.0,2,Florianopolis Brazil,Brazil
Marco Beltran,2017-10-07,3,1,0,1,0,21.0,0.4025,0.25,0.5,0.3125,3,9,0,0,1,1,0,1,0,31,Orthodox,172.72,175.26,0.75,4,Mexico City Mexico,Mexico
Marcos Rogerio de Lima,2021-05-08,6,6,0,1,0,3.24,0.54,0.6,1.14,0.66,2,18,0,0,0,1,4,1,0,35,Orthodox,185.42,190.5,0.5,12,Sao Paulo Brazil,Brazil
Marcus Brimage,2014-11-07,3,2,0,2,0,52.4,0.33,0.0,0.6,0.4,3,13,0,0,1,2,0,0,0,29,Southpaw,162.56,180.34,0.6,5,"Coconut Creek, Florida USA",USA
Marion Reneau,2021-07-17,5,6,1,4,0,3.2,0.41,0.8,0.62,0.63,2,33,0,0,0,1,2,2,0,44,Orthodox,167.64,172.72,0.4166666666666667,12,"Visalia, California USA",USA
Mark Bocek,2012-11-17,7,4,0,0,2,23.45454545,0.417272727,1.090909091,3.0,0.569090909,3,25,0,0,0,3,0,4,0,31,Orthodox,172.72,190.5,0.6363636363636364,11,"Woodbridge, Ontario Canada",Canada
Mark Eddiva,2016-03-19,1,2,0,2,0,45.0,0.456666667,0.0,1.333333333,0.133333333,1,8,0,0,0,1,0,0,0,30,Orthodox,172.72,172.72,0.3333333333333333,3,Baguio City Philippines,Philippines
Mark Godbeer,2017-11-04,1,1,0,0,1,48.5,0.5,0.0,0.0,0.0,1,4,0,0,0,1,0,0,0,33,Orthodox,193.04,195.58,0.5,2,Bridgewater England,England
Mark Hunt,2018-12-01,8,9,0,2,0,27.05882353,0.417058824,0.058823529,0.411764706,0.2,4,43,1,0,0,1,7,0,0,44,Orthodox,177.8,182.88,0.47058823529411764,17,Sydney Australia,Australia
Mark Munoz,2015-05-16,8,6,0,3,0,25.64285714,0.380714286,0.357142857,1.357142857,0.218571429,4,27,0,0,1,3,4,0,0,37,Orthodox,182.88,182.88,0.5714285714285714,14,"Lake Forest, California USA",USA
Marlon Vera,2021-06-19,10,6,0,1,0,3.91,0.5,1.3,0.88,0.42,5,38,0,0,0,1,5,4,0,28,Switch,172.72,177.8,0.625,16,"Chone, Manabi Ecuador",Ecuador
Martin Bravo,2019-09-21,1,2,0,2,0,7.66,0.39,0.0,2.6,0.35,1,6,0,0,0,0,1,0,0,26,Southpaw,172.72,180.34,0.3333333333333333,3,"Rosartio, Baja California Mexico",Mexico
Marvin Vettori,2021-06-12,7,2,1,0,5,3.88,0.43,0.7,2.24,0.47,5,30,0,0,0,5,0,2,0,27,Southpaw,182.88,187.96,0.7,10,Mezzocorona Italy,Italy
Maryna Moroz,2020-03-14,4,3,0,0,1,3.25,0.25,0.5,0.33,0.14,2,19,0,0,1,2,0,1,0,28,Orthodox,170.18,170.18,0.5714285714285714,7,Volnogorsk Ukraine,Ukraine
Masanori Kanehara,2016-01-02,1,1,0,1,0,28.0,0.5,1.0,1.0,0.25,1,6,0,0,0,1,0,0,0,33,Orthodox,170.18,170.18,0.5,2,Japan,Japan
Masio Fullen,2016-01-30,1,1,0,1,0,21.0,0.65,0.0,0.5,0.25,1,4,0,0,1,0,0,0,0,29,Orthodox,177.8,177.8,0.5,2,"San Diego, California USA",USA
Matheus Nicolau,2021-03-13,3,1,0,1,0,3.79,0.52,1.4,1.93,0.44,3,10,0,0,1,1,0,1,0,28,Orthodox,167.64,167.64,0.75,4,Rio de Janerio Brazil,Brazil
Mats Nilsson,2015-01-03,0,1,0,1,0,25.0,0.44,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,31,Orthodox,185.42,187.96,0.0,1,Copenhagen Denmark,Denmark
Matt Brown,2021-06-19,15,12,0,2,0,3.68,0.54,1.4,1.52,0.44,7,61,0,0,0,2,11,2,0,40,Orthodox,182.88,190.5,0.5555555555555556,27,"Denver, Colorado USA",USA
Matt Dwyer,2015-07-15,1,1,0,0,1,6.5,0.175,0.0,0.0,0.0,1,2,0,0,0,0,1,0,0,25,Orthodox,193.04,193.04,0.5,2,"Kelowna, BC Canada",Canada
Matt Hobar,2014-12-06,1,1,0,0,1,35.0,0.44,0.0,3.0,0.33,1,4,0,0,0,1,0,0,0,27,Southpaw,177.8,177.8,0.5,2,"Dallas, TX USA",USA
Matt Mitrione,2016-01-17,9,4,0,1,0,22.0,0.540769231,0.307692308,0.0,0.0,5,20,0,0,0,1,8,0,0,37,Switch,190.5,200.66,0.6923076923076923,13,"Indianapolis, Indiana USA",USA
Matt Schnell,2021-05-15,5,3,0,0,1,4.23,0.38,1.0,0.39,0.33,4,14,0,0,2,1,0,2,0,31,Orthodox,172.72,177.8,0.625,8,"Coconut Creek, Florida USA",USA
Matt Van Buren,2015-01-18,0,1,0,1,0,2.0,0.2,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,28,Orthodox,195.58,193.04,0.0,1,"Chula Vista, California USA",USA
Matt Wiman,2020-12-05,10,7,0,2,0,3.18,0.5,1.5,2.14,0.37,4,39,0,0,0,5,2,3,0,37,Orthodox,177.8,172.72,0.5882352941176471,17,"Arvada, Colorado USA",USA
Matthew Lopez,2018-12-08,2,3,0,2,0,28.6,0.536,1.0,2.2,0.7,2,12,0,0,0,1,1,0,0,31,Southpaw,170.18,175.26,0.4,5,"Lake Forest, California USA",USA
Mauricio Rua,2020-11-21,27,11,1,0,2,3.63,0.5,0.8,2.17,0.48,8,79,3,0,2,3,21,1,0,38,Orthodox,185.42,193.04,0.6923076923076923,39,Curitiba Brazil,Brazil
Max Griffin,2021-07-10,5,6,0,0,2,4.35,0.49,0.4,1.63,0.53,2,29,0,1,0,1,3,0,0,35,Orthodox,180.34,193.04,0.45454545454545453,11,"Sacramento, California USA",USA
